Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
!uppipe,!uppipe,,8,Advanced,Kaizo,,,,
#0 IGGY'S CASTLE,#0 IGGY'S CASTLE,,25,Intermediate,Standard,,,,
#thathack,#thathack,,12,Casual,Standard,,,,
*SUPERSTAR* - an EP by margot,*SUPERSTAR* - an EP by margot,,6,Master,Kaizo,,,,
[Demo] Mario Adventure Land,[Demo] Mario Adventure Land,,5,Casual,Standard,,,,
~ Sure Shot ~ featuring Sonic the Hedgehog DELUXE EDITION,~ Sure Shot ~ featuring Sonic the Hedgehog DELUXE EDITION,,11,Advanced,Kaizo,,,,
~omh~,~omh~,,100,Expert,Standard,,,,
⏱︎ Slow Motion Mario,⏱︎ Slow Motion Mario,,4,Expert,Kaizo,,,,
1 Island Of Vanilla Feeling,1 Island Of Vanilla Feeling,,7,Casual,Standard,,,,
1 Square Puzzle,1 Square Puzzle,,1,Grandmaster,"Tool-Assisted, Pit",,,,
100 Rooms of Enemies: 10th Anniversary Edition,100 Rooms of Enemies: 10th Anniversary Edition,,2,Intermediate,Standard,,,,
100 Rooms Of Torment,100 Rooms Of Torment,,0,Grandmaster,Kaizo,,,,
100th Birthday Cake,100th Birthday Cake,,0,Advanced,Kaizo,,,,
10yumps,10yumps,,56,Master,Kaizo,,,,
12 DAY: An SMW Mixtape,12 DAY: An SMW Mixtape,,11,Advanced,"Standard, Kaizo",,,,
1st Kochobo Dourado Collab,1st Kochobo Dourado Collab,,18,Casual,Standard,,,,
2 Hour Hack,2 Hour Hack,,6,Advanced,Standard,,,,
2 Player Co-op Quest 2,2 Player Co-op Quest 2,,13,Casual,Standard,,,,
2 Player Co-op Quest!,2 Player Co-op Quest!,,8,Casual,Standard,,,,
20 Challenges: Episode 1 - A feard enemy,20 Challenges: Episode 1 - A feard enemy,,1,Intermediate,Standard,,,,
20 Challenges: Episode 2 - Witchcraft,20 Challenges: Episode 2 - Witchcraft,,1,Intermediate,Standard,,,,
20 Challenges: Episode 3 - The tale from a bone,20 Challenges: Episode 3 - The tale from a bone,,1,Intermediate,Standard,,,,
20 Challenges: Episode 4 - Temple of the elements,20 Challenges: Episode 4 - Temple of the elements,,1,Intermediate,Standard,,,,
20 Challenges: Episode 5 - Community Vibe,20 Challenges: Episode 5 - Community Vibe,,1,Intermediate,Standard,,,,
2019 Blind Kaizo Relay Level Collaboration,2019 Blind Kaizo Relay Level Collaboration,,7,Expert,Kaizo,,,,
22H,22H,,21,Grandmaster,Kaizo,,,,
2K Shells,2K Shells,,17,Advanced,Kaizo,,,,
2Kaizo2Learn,2Kaizo2Learn,,69,Intermediate,Kaizo,,,,
3 Islands of Shells,3 Islands of Shells,,9,Expert,Kaizo,,,,
3 Trials,3 Trials,,4,Casual,Standard,,,,
35 Questions Deluxe,35 Questions Deluxe,,35,Master,Kaizo,,,,
35 Rooms of Nonsense,35 Rooms of Nonsense,,1,Master,Kaizo,,,,
4 YUMPs For Yoshi,4 YUMPs For Yoshi,,4,Expert,Kaizo,,,,
45 Rooms of Balderdash,45 Rooms of Balderdash,,1,Master,Kaizo,,,,
4th Chamber,4th Chamber,,29,Master,Kaizo,,,,
5 Level Hack,5 Level Hack,,5,Casual,Standard,,,,
5 Orbs,5 Orbs,,16,Newcomer,Standard,,,,
5.3.20 Magnolia,5.3.20 Magnolia,,14,Casual,Standard,,,,
6 HOURS,6 HOURS,,6,Advanced,Kaizo,,,,
8 SCREENS,8 SCREENS,,6,Advanced,Standard,,,,
8 Trials Await,8 Trials Await,,8,Newcomer,Standard,,,,
8:40,8:40,,0,Advanced,Kaizo,,,,
8-bit Mario World - Desert Mario,8-bit Mario World - Desert Mario,,1,Newcomer,Standard,,,,
9 Dreams,9 Dreams,,9,Expert,Kaizo,,,,
9 LONG ADVENTURES,9 LONG ADVENTURES,,10,Intermediate,Standard,,,,
A Baby Yoshi Quest,A Baby Yoshi Quest,,9,Intermediate,Standard,,,,
A Chance for Glory,A Chance for Glory,,0,Intermediate,"Standard, Kaizo",,,,
A Christmas Gift,A Christmas Gift,,4,Intermediate,Kaizo,,,,
A Christmas Gift: Timmy's Final Gift,A Christmas Gift: Timmy's Final Gift,,5,Advanced,Kaizo,,,,
A Christmas Walk,A Christmas Walk,,1,Casual,Standard,,,,
A Cold Day In Shell,A Cold Day In Shell,,7,Expert,Kaizo,,,,
A Difficult Journey,A Difficult Journey,,12,Casual,Standard,,,,
A FIP,A FIP,,0,Master,Kaizo,,,,
A Frivolous Journey,A Frivolous Journey,,7,Casual,Standard,,,,
A Goblin's Quest to Leave Her House and Get a Gyro For Lunch Because She Was Hungry,A Goblin's Quest to Leave Her House and Get a Gyro For Lunch Because She Was Hungry,,24,Expert,Kaizo,,,,
A Goomba's Walk,A Goomba's Walk,,7,Intermediate,Standard,,,,
A Hack Thing,A Hack Thing,,11,Newcomer,Standard,,,,
A Hack Thing 2,A Hack Thing 2,,12,Casual,Standard,,,,
A Halloween Walk,A Halloween Walk,,7,Casual,Standard,,,,
A Haunted Christmas,A Haunted Christmas,,7,Casual,Standard,,,,
A Haunting at Chateau Cousseaux,A Haunting at Chateau Cousseaux,,9,Grandmaster,Kaizo,,,,
A Helping Hand,A Helping Hand,,7,Casual,Standard,,,,
A Journey To Save The Yoshis,A Journey To Save The Yoshis,,19,Casual,Standard,,,,
A Kaizo Adventure,A Kaizo Adventure,,1,Master,Kaizo,,,,
A Kekcroc Christmas,A Kekcroc Christmas,,5,Casual,Standard,,,,
A Land That is Super,A Land That is Super,,25,Intermediate,Standard,,,,
A Lenda do Herói (Songs for a Hero),A Lenda do Herói (Songs for a Hero),,25,Intermediate,Standard,,,,
A Mario Place,A Mario Place,,7,Casual,Standard,,,,
A Maxi Mini Hack,A Maxi Mini Hack,,8,Newcomer,Standard,,,,
A Maxi Mini Hack B-Sides,A Maxi Mini Hack B-Sides,,3,Casual,Standard,,,,
A Metal Hack,A Metal Hack,,5,Newcomer,Standard,,,,
A Mole in Space,A Mole in Space,,0,Advanced,Standard,,,,
A New Journey,A New Journey,,8,Casual,Standard,,,,
A New Year Walk,A New Year Walk,,1,Casual,Standard,,,,
A Plumber For All Seasons,A Plumber For All Seasons,,41,Casual,Standard,,,,
a pretty view,a pretty view,,13,Expert,Kaizo,,,,
A Pure Vanilla Hack,A Pure Vanilla Hack,,6,Newcomer,Standard,,,,
A Random Pit,A Random Pit,,1,Master,"Tool-Assisted, Pit",,,,
A Rose for Emily,A Rose for Emily,,9,Master,Kaizo,,,,
A Rushed Project,A Rushed Project,,7,Intermediate,Standard,,,,
A Second X Thing: Gaiden: Gaiden,A Second X Thing: Gaiden: Gaiden,,26,Advanced,Standard,,,,
A Semi-Normal Castle,A Semi-Normal Castle,,1,Casual,Standard,,,,
A short Journey,A short Journey,,7,Expert,Kaizo,,,,
A short kaizo,A short kaizo,,6,Intermediate,Kaizo,,,,
A short kaizo 2,A short kaizo 2,,6,Intermediate,Kaizo,,,,
A Simple Story,A Simple Story,,7,Casual,Standard,,,,
A SMW Hack,A SMW Hack,,6,Newcomer,Standard,,,,
A Special Birthday,A Special Birthday,,8,Advanced,Standard,,,,
A Special Christmas,A Special Christmas,,8,Advanced,Standard,,,,
A Sticky Situation,A Sticky Situation,,16,Advanced,Kaizo,,,,
A story about an island,A story about an island,,8,Advanced,Kaizo,,,,
A Strange Mission,A Strange Mission,,8,Intermediate,Standard,,,,
A Strongly-Worded Letter to the Iceberg,A Strongly-Worded Letter to the Iceberg,,7,Master,"Standard, Kaizo",,,,
A Summer Level,A Summer Level,,1,Casual,Standard,,,,
A Super Mario Adventure,A Super Mario Adventure,,107,Casual,Standard,,,,
A Super Mario Thing,A Super Mario Thing,,94,Expert,Standard,,,,
A Super Mario World Rom Hack,A Super Mario World Rom Hack,,7,Intermediate,Standard,,,,
A Supposedly Fun Thing I'll Never Do Again,A Supposedly Fun Thing I'll Never Do Again,,18,Expert,Kaizo,,,,
A Teakettle of Wet Bees,A Teakettle of Wet Bees,,11,Expert,Kaizo,,,,
A Thing w/ Peiton,A Thing w/ Peiton,,69,Advanced,Standard,,,,
A Vanilla Level,A Vanilla Level,,1,Intermediate,Standard,,,,
A Very Super Mario World,A Very Super Mario World,,120,Grandmaster,Standard,,,,
A WIP,A WIP,,0,Master,Kaizo,,,,
A work project thing...,A work project thing...,,4,Intermediate,Standard,,,,
A Yoshi's Story,A Yoshi's Story,,1,Intermediate,Standard,,,,
A Yoshi's Story 2,A Yoshi's Story 2,,16,Casual,Standard,,,,
A1 Mario World,A1 Mario World,,14,Advanced,Kaizo,,,,
Absolute Authenticity,Absolute Authenticity,,0,Grandmaster,Kaizo,,,,
Abuse and Die 3,Abuse and Die 3,,3,Expert,"Kaizo, Tool-Assisted",,,,
Acid Tapes Vol. 1,Acid Tapes Vol. 1,,10,Advanced,Kaizo,,,,
Acid Tapes Vol. 2,Acid Tapes Vol. 2,,20,Expert,Kaizo,,,,
Action42,Action42,,10,Advanced,Kaizo,,,,
Advanced Shells,Advanced Shells,,15,Master,Kaizo,,,,
Advanced Shells II,Advanced Shells II,,14,Master,Kaizo,,,,
Advanced Shells III,Advanced Shells III,,13,Master,Kaizo,,,,
Adventure in Gemstone Islands,Adventure in Gemstone Islands,,73,Intermediate,Standard,,,,
Adventure Islands,Adventure Islands,,44,Advanced,Kaizo,,,,
Adventure Land: Darkness Rising,Adventure Land: Darkness Rising,,8,Casual,Standard,,,,
Adventure Land: Legend of the Stars,Adventure Land: Legend of the Stars,,7,Casual,Standard,,,,
Adventure Of The Red Plumber,Adventure Of The Red Plumber,,3,Newcomer,Standard,,,,
Aeron Returns,Aeron Returns,,3,Advanced,"Standard, Kaizo",,,,
Aeron's Golden Cookie Quest ~ Special Edition,Aeron's Golden Cookie Quest ~ Special Edition,,10,Advanced,Standard,,,,
Aether: The Paramount Omnibus,Aether: The Paramount Omnibus,,20,Casual,Standard,,,,
ageVerrly's Challenge,ageVerrly's Challenge,,1,Grandmaster,Kaizo,,,,
Agnosthesia,Agnosthesia,,22,Expert,Kaizo,,,,
Aionios Dynami,Aionios Dynami,,6,Intermediate,Standard,,,,
Akogare 2,Akogare 2,,29,Expert,Kaizo,,,,
Akogare Mario World,Akogare Mario World,,28,Advanced,Kaizo,,,,
Alabaras Shells,Alabaras Shells,,10,Expert,Kaizo,,,,
Albatros,Albatros,,32,Grandmaster,Kaizo,,,,
Alex Kidd in Mario World,Alex Kidd in Mario World,,38,Casual,Standard,,,,
Alex Kidd In Pancake World,Alex Kidd In Pancake World,,4,Casual,Standard,,,,
All in a Day's World,All in a Day's World,,10,Intermediate,Standard,,,,
Allstar's dream,Allstar's dream,,0,Intermediate,Kaizo,,,,
Allycia Legends - The Blood Moon,Allycia Legends - The Blood Moon,,9,Casual,Standard,,,,
Alpha Shelltauri,Alpha Shelltauri,,1,Master,Kaizo,,,,
ALPHA SPHERE Zero: Rotten Brains,ALPHA SPHERE Zero: Rotten Brains,,0,Newcomer,Standard,,,,
ALPHA SPHERE: Director's Cut,ALPHA SPHERE: Director's Cut,,5,Casual,Standard,,,,
Also Sprach Mario,Also Sprach Mario,,10,Advanced,Kaizo,,,,
Amazing,Amazing,,8,Advanced,Kaizo,,,,
Ambivalence,Ambivalence,,11,Advanced,Kaizo,,,,
Amulet Of Corruption DEMO,Amulet Of Corruption DEMO,,7,Casual,Standard,,,,
An SMW Central Production,An SMW Central Production,,117,Advanced,Standard,,,,
An Untitled Quest!,An Untitled Quest!,,14,Casual,Standard,,,,
Anita Kaizo Land,Anita Kaizo Land,,7,Advanced,Kaizo,,,,
Another adventure of Mario,Another adventure of Mario,,19,Intermediate,Standard,,,,
Another Challenge With Mario,Another Challenge With Mario,,8,Intermediate,Standard,,,,
Another Christmas Gift - Christmas in March,Another Christmas Gift - Christmas in March,,4,Advanced,Kaizo,,,,
Another Generic SMW Hack,Another Generic SMW Hack,,11,Newcomer,Standard,,,,
Another Mario Adventure,Another Mario Adventure,,5,Newcomer,Standard,,,,
Another Mario Hack,Another Mario Hack,,9,Intermediate,Standard,,,,
Another Mario Remastered,Another Mario Remastered,,71,Casual,Standard,,,,
Another Mario Remastered 2 - HF Crismon,Another Mario Remastered 2 - HF Crismon,,34,Casual,Standard,,,,
Another Mario World,Another Mario World,,54,Casual,Standard,,,,
Another Mario World 2: Luigi's Mission,Another Mario World 2: Luigi's Mission,,70,Casual,Standard,,,,
Another Rom Hack Featuring Mario,Another Rom Hack Featuring Mario,,8,Casual,Standard,,,,
Another Special World,Another Special World,,8,Intermediate,Standard,,,,
Another Special World 2,Another Special World 2,,9,Advanced,Standard,,,,
Another Super Mario Adventure,Another Super Mario Adventure,,27,Casual,Standard,,,,
Aperitif,Aperitif,,13,Intermediate,Kaizo,,,,
App Strike,App Strike,,5,Casual,Standard,,,,
Apple Boy 2: Homebound Hero,Apple Boy 2: Homebound Hero,,45,Casual,Standard,,,,
Apple Boy: Attack of Ice Cream Man,Apple Boy: Attack of Ice Cream Man,,33,Casual,Standard,,,,
Apple Guardian,Apple Guardian,,9,Expert,Kaizo,,,,
Arantes Shells,Arantes Shells,,15,Master,Kaizo,,,,
Arcadia,Arcadia,,25,Expert,Kaizo,,,,
Arcane Mario World,Arcane Mario World,,16,Expert,Kaizo,,,,
Archipelago of Truth Collection,Archipelago of Truth Collection,,19,Casual,Standard,,,,
Arcyria,Arcyria,,8,Expert,Kaizo,,,,
Are The Enemies Smarter Than A Caveman?,Are The Enemies Smarter Than A Caveman?,,10,Intermediate,Standard,,,,
Arkin,Arkin,,11,Advanced,Kaizo,,,,
ARMAGEDDON,ARMAGEDDON,,1,Grandmaster,"Tool-Assisted, Pit",,,,
Armaidia,Armaidia,,5,Casual,Standard,,,,
Assortment Of Wyverns,Assortment Of Wyverns,,3,Grandmaster,Kaizo,,,,
