Operation,Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL,SMWCentral Rating
UPSERT,a girl's special treat (and my regards to the head of the mice 🐁),a girl's special treat (and my regards to the head of the mice 🐁),Arinsu,9,Advanced,Standard,2026-08-27,42889,https://www.smwcentral.net/?a=details&id=42889&p=section,https://dl.smwcentral.net/42889/a%20girl%27s%20special%20treat.zip,4.5
UPSERT,Super Jump and Shells,Super Jump and Shells,Firstnamebutt,14,Advanced,Kaizo,2026-08-27,43078,https://www.smwcentral.net/?a=details&id=43078&p=section,https://dl.smwcentral.net/43078/SuperJumpandShells.zip,5
UPSERT,Super Mario 2D Land,Super Mario 2D Land,Alex No,87,Casual,Standard,2014-01-15,6068,https://www.smwcentral.net/?a=details&id=6068&p=section,https://dl.smwcentral.net/6068/Super%20Mario%202D%20Land%20fix%20Desember%202013.zip,4.27
UPSERT,stick mice in my head and then beat my head in with a hammer and let them back out,stick mice in my head and then beat my head in with a hammer and let them back out,"Christina Hendricks, JUMP Team",19,Advanced,Standard,2018-02-09,17105,https://www.smwcentral.net/?a=details&id=17105&p=section,https://dl.smwcentral.net/17105/mice.zip,4.5
UPSERT,Quickie World,Quickie World,Valdio,14,Advanced,Kaizo,2018-04-24,17441,https://www.smwcentral.net/?a=details&id=17441&p=section,https://dl.smwcentral.net/17441/QuickieWorld1.12.zip,4.71
UPSERT,Super Wakana Land,Super Wakana Land,Wakana,69,Advanced,Standard,2018-08-02,17982,https://www.smwcentral.net/?a=details&id=17982&p=section,https://dl.smwcentral.net/17982/SWL2.1.1.zip,4.75
UPSERT,Super Mario Bros. 1X,Super Mario Bros. 1X,Koyuki,66,Casual,Standard,2018-08-26,18086,https://www.smwcentral.net/?a=details&id=18086&p=section,https://dl.smwcentral.net/18086/SMB1X%20v1.6.zip,4.5
UPSERT,Nachos and Fried Oreos,Nachos and Fried Oreos,"GbreezeSunset, MiracleWater",15,Advanced,Standard,2019-02-25,19044,https://www.smwcentral.net/?a=details&id=19044&p=section,https://dl.smwcentral.net/19044/Nachos%20and%20Fried%20Oreos.zip,3.95
UPSERT,🐭 So 2 Mice Walk Into a Bar... 🐭,🐭 So 2 Mice Walk Into a Bar... 🐭,"Christina Hendricks, S.N.N.",18,Intermediate,Standard,2020-01-16,21950,https://www.smwcentral.net/?a=details&id=21950&p=section,https://dl.smwcentral.net/21950/so_2_mice_walk_into_a_bar_v1.1.zip,4.53
UPSERT,Journey To Peak,Journey To Peak,Silver Wind,8,Expert,Kaizo,2024-10-22,38474,https://www.smwcentral.net/?a=details&id=38474&p=section,https://dl.smwcentral.net/38474/Journey%20to%20peak.zip,3
UPSERT,Still Pointless,Still Pointless,SonofSolaire,13,Advanced,Kaizo,2026-08-23,42848,https://www.smwcentral.net/?a=details&id=42848&p=section,https://dl.smwcentral.net/42848/StillPointless1.1.zip,5
UPSERT,Journey to Kaizo,Journey to Kaizo,"Ahrion, CroNo486, Devazure, Spedinja, Team J2K",38,Intermediate,Kaizo,2026-08-23,42947,https://www.smwcentral.net/?a=details&id=42947&p=section,https://dl.smwcentral.net/42947/Journey%20to%20Kaizo%20v1.0.1.zip,5
